neighborhood,count
ravenswood,78
lakeview,77
logan-square,75
lincoln-square,74
uptown,73
north-center,72
ukrainian-village,72
wicker-park,71
edgewater,70
lincoln-park,70
andersonville,70
bucktown,70
avondale,66
humboldt-park,64
pilsen,64
hyde-park,64
south-loop,63
west-loop,62
roscoe-village,62
rogers-park,58
east-village,58
irving-park,54
bridgeport,54
portage-park,52
jefferson-park,51
albany-park,50
noble-square,49
west-town,48
wrigleyville,46
beverly,44
boystown,44
river-north,43
mt-greenwood,37
gold-coast,36
old-town,33
loop,31
west-ridge,30
streeterville,29
edison-park,29
west-rogers-park,27
norwood-park,24
mayfair,24
dunning,23
belmont-cragin,23
river-west,20
old-irving-park,20
little-village,18
mckinley-park,16
sauganash,16
little-italy,15
university-village,14
garfield-ridge,14
edgebrook,14
north-park,13
ravenswood-manor,13
ashburn,12
buena-park,12
bronzeville,12
east-side,11
austin,11
clearing,10
morgan-park,10
kenwood,10
independence-park,10
heart-of-chicago,10
near-west-side,10
west-lawn,9
tri-taylor,9
west-beverly,9
hermosa,9
woodlawn,8
south-chicago,8
chatham,8
brighton-park,8
canaryville,7
west-humboldt-park,7
west-elsdon,7
forest-glen,7
montclare,7
gladstone-park,6
hegewisch,6
back-of-yards,6
archer-heights,6
ravenswood-gardens,6
galewood,6
south-shore,5
greektown,5
armour-square,5
roseland,4
grand-crossing,4
ohare,4
englewood,4
washington-park,3
altgeld-gardens,3
gage-park,3
downtown,3
oakland,3
chicago-lawn,3
east-garfield-park,3
pullman,2
auburn-gresham,2
south-deering,2
heart-of-italy,2
chinatown,2
pill-hill,2
douglas,2
west-pullman,1
south-austin,1
brainerd,1
grand-boulevard,1
jackson-highlands,1
west-englewood,1
