neighborhood,overlap,count
albany-park,0.5991462664866919,50
altgeld-gardens,0.0,3
andersonville,0.5516026956892361,70
archer-heights,0.6142010947499208,6
armour-square,0.5196054980386596,5
ashburn,0.4772144069951756,12
auburn-gresham,0.07690169328116186,2
austin,0.5368263379723384,11
avondale,0.6397177396141075,66
back-of-yards,0.4845839958025151,6
belmont-cragin,0.35961871391958405,23
beverly,0.6852832200869898,44
boystown,0.5989074375899165,44
bridgeport,0.7831860531147954,54
brighton-park,0.5223967278974783,8
bronzeville,0.6027056780201773,12
bucktown,0.7027662239614798,70
buena-park,0.7902359673773511,12
canaryville,0.8231105552225374,7
chatham,0.6023315343424746,8
chicago-lawn,0.3758462060344179,3
chinatown,0.543856552265049,2
clearing,0.5769650403109188,10
douglas,0.8797879827754558,2
downtown,0.6763048533135709,3
dunning,0.5452748689225339,23
east-garfield-park,0.717053780484755,3
east-side,0.6909698216804937,11
east-village,0.592916417572858,58
edgebrook,0.571449198769539,14
edgewater,0.6977312138403372,70
edison-park,0.5696339676161997,29
englewood,0.7095154777007311,4
forest-glen,0.5190890878402095,7
gage-park,0.5687077126652754,3
galewood,0.7987363788970716,6
garfield-ridge,0.6148728961385821,14
gladstone-park,0.3510212996432696,6
gold-coast,0.5603525226263418,36
grand-crossing,0.33655522549141925,4
greektown,0.6969529798598321,5
heart-of-chicago,0.6792089648731355,10
heart-of-italy,0.41152682689613374,2
hegewisch,0.6409769164845428,6
hermosa,0.6927019455136492,9
humboldt-park,0.627224731969466,64
hyde-park,0.7652156327518719,64
independence-park,0.7658012442788625,10
irving-park,0.3982079943762895,54
jefferson-park,0.46551054885781085,51
kenwood,0.7079516887391735,10
lakeview,0.7168138311733021,77
lincoln-park,0.7373092648155829,70
lincoln-square,0.6069285616455117,74
little-italy,0.7072119959613543,15
little-village,0.5858775681236807,18
logan-square,0.6808503447312584,75
loop,0.6663066613062848,31
mayfair,0.5512839357252379,24
mckinley-park,0.7407866509622681,16
montclare,0.42713408748074644,7
morgan-park,0.5844201069922895,10
mt-greenwood,0.7255521669459037,37
near-west-side,0.3916024752149048,10
noble-square,0.5375569648684572,49
north-center,0.6052494492308141,72
north-park,0.6835486832453922,13
norwood-park,0.5098934578395057,24
oakland,0.5049934757124638,3
ohare,0.37458132217297674,4
old-irving-park,0.7492463956395324,20
old-town,0.5107805122196337,33
pill-hill,0.6555052482131182,2
pilsen,0.6724337199203091,64
portage-park,0.5927455385671233,52
pullman,0.513021508657052,2
ravenswood,0.526351067795224,78
ravenswood-gardens,0.6030058403147469,6
ravenswood-manor,0.724627175439534,13
river-north,0.6961962292556663,43
river-west,0.34676437506380053,20
rogers-park,0.723591801495329,58
roscoe-village,0.7058342502501337,62
roseland,0.5828110812448876,4
sauganash,0.6800275851944488,16
south-chicago,0.4468733350708572,8
south-deering,0.5176641704238938,2
south-loop,0.5589944020641291,63
south-shore,0.8138050683759832,5
streeterville,0.687042685595877,29
tri-taylor,0.5305033351018537,9
ukrainian-village,0.6090462473995172,72
university-village,0.4349291157039868,14
uptown,0.6863645365019582,73
washington-park,0.7222249847340114,3
west-beverly,0.4771077774798408,9
west-elsdon,0.39230831240816366,7
west-humboldt-park,0.44982770382748755,7
west-lawn,0.6108390076307645,9
west-loop,0.6802698112260974,62
west-ridge,0.724132578373881,30
west-rogers-park,0.6722825910038309,27
west-town,0.438958526263658,48
wicker-park,0.727662024355787,71
woodlawn,0.6838159120278337,8
wrigleyville,0.5186407683301433,46
